Premise_ID,Argument_ID,annotator,persuasiveness,changeability,premise_agreement,Group_ID
bwp793,epz6cy3,group-17_person-0,2,5,6,17
bwp793,epz6cy3,group-17_person-1,5,5,5,17
bxv6l3,eqal0ne,group-17_person-0,2,4,3,17
bxv6l3,eqal0ne,group-17_person-1,2,4,3,17
bzyex3,eqyhthf,group-17_person-0,2,1,1,17
bzyex3,eqyhthf,group-17_person-1,1,4,3,17
bzz9hv,er06980,group-17_person-0,3,5,3,17
bzz9hv,er06980,group-17_person-1,3,5,6,17
c27f7p,erkjoja,group-17_person-0,2,3,4,17
c27f7p,erkjoja,group-17_person-1,2,3,4,17
c2f1r4,erks4zu,group-17_person-0,1,2,2,17
c2f1r4,erks4zu,group-17_person-1,1,2,1,17
c2xvar,ernbc3o,group-17_person-0,5,3,4,17
c2xvar,ernbc3o,group-17_person-1,5,4,5,17
c44hol,ervpue5,group-17_person-0,4,3,4,17
c44hol,ervpue5,group-17_person-1,4,4,4,17
c6egwj,es9uu1o,group-17_person-0,1,3,3,17
c6egwj,es9uu1o,group-17_person-1,4,5,6,17
c6hgse,es90b3i,group-17_person-0,2,3,2,17
c6hgse,es90b3i,group-17_person-1,1,3,1,17
c7f15k,esepz2k,group-17_person-0,2,2,1,17
c7f15k,esepz2k,group-17_person-1,1,2,1,17
c7vbzy,esirtod,group-17_person-0,1,3,2,17
c7vbzy,esirtod,group-17_person-1,1,3,2,17
ca0ial,et5l6di,group-17_person-0,2,4,1,17
ca0ial,et5l6di,group-17_person-1,4,5,4,17
caatc7,et9qxwk,group-17_person-0,1,1,3,17
caatc7,et9qxwk,group-17_person-1,2,4,3,17
cbn3ba,eth6fpp,group-17_person-0,4,4,1,17
cbn3ba,eth6fpp,group-17_person-1,4,4,6,17
cctzo5,etsds08,group-17_person-0,1,1,1,17
cctzo5,etsds08,group-17_person-1,2,3,2,17
cdwf8s,etwqkns,group-17_person-0,3,4,3,17
cdwf8s,etwqkns,group-17_person-1,3,4,4,17
ce0jkv,etxwva1,group-17_person-0,2,3,3,17
ce0jkv,etxwva1,group-17_person-1,4,3,3,17
cgla3z,eui843p,group-17_person-0,4,5,4,17
cgla3z,eui843p,group-17_person-1,4,5,6,17
chc03t,eurky10,group-17_person-0,2,4,3,17
chc03t,eurky10,group-17_person-1,1,4,4,17
ci8vij,ev2uz45,group-17_person-0,2,5,3,17
ci8vij,ev2uz45,group-17_person-1,4,5,3,17
cimzve,ev7pvsj,group-17_person-0,1,2,3,17
cimzve,ev7pvsj,group-17_person-1,5,4,3,17
clwldz,evybbqo,group-17_person-0,3,2,2,17
clwldz,evybbqo,group-17_person-1,3,2,2,17
cmg36f,ew20dko,group-17_person-0,1,1,1,17
cmg36f,ew20dko,group-17_person-1,2,5,1,17
co4ms9,ewhwd09,group-17_person-0,2,3,2,17
co4ms9,ewhwd09,group-17_person-1,1,5,2,17
cpgqe5,ewpe0rv,group-17_person-0,3,2,3,17
cpgqe5,ewpe0rv,group-17_person-1,3,2,3,17
cqzh6d,ex4aft5,group-17_person-0,2,3,2,17
cqzh6d,ex4aft5,group-17_person-1,1,3,1,17
csbzcz,exdvsj7,group-17_person-0,2,3,3,17
csbzcz,exdvsj7,group-17_person-1,5,5,6,17
cshs9f,exfe711,group-17_person-0,3,3,1,17
cshs9f,exfe711,group-17_person-1,2,4,1,17
ct5apl,exiuog8,group-17_person-0,3,4,3,17
ct5apl,exiuog8,group-17_person-1,3,5,5,17
ctlyla,exop37p,group-17_person-0,3,5,3,17
ctlyla,exop37p,group-17_person-1,3,5,3,17
cuelmx,extmcuc,group-17_person-0,3,3,2,17
